data_evento,cliente_id,cliente_nome,plano,valor,tipo_evento
2020-12-08,ce0b255d-fad0-4919-9913-cf288274bc99,Cavalcante - ME,Basic,99.0,Pagamento
2021-01-07,ce0b255d-fad0-4919-9913-cf288274bc99,Cavalcante - ME,Basic,99.0,Pagamento
2021-02-06,ce0b255d-fad0-4919-9913-cf288274bc99,Cavalcante - ME,Basic,99.0,Pagamento
2021-03-06,ce0b255d-fad0-4919-9913-cf288274bc99,Cavalcante - ME,Basic,0.0,Cancelamento
2020-07-15,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2020-08-14,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2020-09-13,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2020-10-13,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2020-11-12,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2020-12-12,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2021-01-11,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2021-02-10,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2021-03-12,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2021-04-11,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2021-05-11,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2021-06-10,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2021-07-10,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2021-08-09,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2021-09-08,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2021-10-08,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2021-11-07,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2021-12-07,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2022-01-06,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2022-02-05,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2022-03-07,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2022-04-06,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2022-05-06,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2022-06-05,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2022-07-05,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2022-08-04,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
2022-09-03,e9bc73da-5afd-4ff9-a1a2-54c8d703bb9d,Teixeira,Enterprise,799.0,Pagamento
